Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Name,Customer Segment,Department Name,Market,Order City,Order Country,order date (DateOrders),Order Id,Order Item Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order Status,Product Name,Product Price,shipping date (DateOrders),Shipping Mode
DEBIT,3,4,-5.52,45.48,Advance shipping,0,Indoor/Outdoor Games,Consumer,Fan Shop,Pacific Asia,Saudi Arabia,Saudi Arabia,1/25/2015 21:25,5,11,4.5,0.09,49.98,1,49.98,45.48,-5.52,West Asia,PENDING,O'Brien Men's Neoprene Life Vest,49.98,1/28/2015 21:25,Standard Class
DEBIT,3,4,7.31,218.36,Advance shipping,0,Cleats,Consumer,Apparel,Pacific Asia,Saudi Arabia,Saudi Arabia,1/25/2015 21:25,5,12,21.6,0.09,59.99,4,239.96,218.36,7.31,West Asia,PENDING,Perfect Fitness Perfect Rip Deck,59.99,1/28/2015 21:25,Standard Class
CASH,4,4,3.72,54.6,Shipping on time,0,Men's Clothing,Consumer,Apparel,Pacific Asia,South Korea,South Korea,11/28/2017 5:11,6,13,5.4,0.09,30.0,2,60.0,54.6,3.72,Eastern Asia,COMPLETE,Columbia Men's PFG Anchor Tough T-Shirt,30.0,12/2/2017 5:11,Standard Class
CASH,4,4,3.46,29.04,Shipping on time,0,Accessories,Consumer,Outdoors,Pacific Asia,South Korea,South Korea,11/28/2017 5:11,6,14,5.95,0.17,34.99,1,34.99,29.04,3.46,Eastern Asia,COMPLETE,Under Armour Hustle Storm Medium Duffle Bag,34.99,12/2/2017 5:11,Standard Class
CASH,4,4,16.95,46.98,Shipping on time,0,Indoor/Outdoor Games,Consumer,Fan Shop,Pacific Asia,South Korea,South Korea,11/28/2017 5:11,6,15,3.0,0.06,49.98,1,49.98,46.98,16.95,Eastern Asia,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,12/2/2017 5:11,Standard Class
CASH,4,4,132.63,297.49,Shipping on time,0,Electronics,Consumer,Outdoors,Pacific Asia,South Korea,South Korea,11/28/2017 5:11,6,16,52.5,0.15,349.99,1,349.99,297.49,132.63,Eastern Asia,COMPLETE,Garmin Forerunner 910XT GPS Watch,349.99,12/2/2017 5:11,Standard Class
TRANSFER,6,4,20.18,107.98,Shipping canceled,0,Cleats,Consumer,Apparel,USCA,United States,United States,10/6/2016 1:23,7,17,12.0,0.1,59.99,2,119.98,107.98,20.18,US Center,SUSPECTED_FRAUD,Perfect Fitness Perfect Rip Deck,59.99,10/12/2016 1:23,Standard Class
TRANSFER,6,4,-13.69,181.99,Shipping canceled,0,Water Sports,Consumer,Fan Shop,USCA,United States,United States,10/6/2016 1:23,7,18,18.0,0.09,199.99,1,199.99,181.99,-13.69,US Center,SUSPECTED_FRAUD,Pelican Sunstream 100 Kayak,199.99,10/12/2016 1:23,Standard Class
TRANSFER,6,4,0.34,16.39,Shipping canceled,0,Golf Gloves,Consumer,Golf,USCA,United States,United States,10/6/2016 1:23,7,19,3.6,0.18,19.99,1,19.99,16.39,0.34,US Center,SUSPECTED_FRAUD,Glove It Women's Imperial Golf Glove,19.99,10/12/2016 1:23,Standard Class
PAYMENT,6,4,55.24,110.49,Late delivery,1,Men's Footwear,Corporate,Apparel,LATAM,Colombia,Colombia,6/3/2015 17:06,8,20,19.5,0.15,129.99,1,129.99,110.49,55.24,South America,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,6/9/2015 17:06,Standard Class
DEBIT,6,4,135.93,311.36,Late delivery,1,Electronics,Home Office,Technology,Europe,Spain,Spain,12/14/2015 14:00,9,21,16.39,0.05,327.75,1,327.75,311.36,135.93,Southern Europe,PENDING,Smart watch,327.75,12/20/2015 14:00,Standard Class
DEBIT,6,4,47.73,254.98,Late delivery,1,Camping & Hiking,Home Office,Fan Shop,Europe,Spain,Spain,12/14/2015 14:00,9,22,45.0,0.15,299.98,1,299.98,254.98,47.73,Southern Europe,PENDING,Diamondback Women's Serene Classic Comfort Bi,299.98,12/20/2015 14:00,Standard Class
DEBIT,6,4,-43.46,281.97,Late delivery,1,Cardio Equipment,Home Office,Footwear,Europe,Spain,Spain,12/14/2015 14:00,9,23,18.0,0.06,99.99,3,299.97,281.97,-43.46,Southern Europe,PENDING,Nike Men's Free 5.0+ Running Shoe,99.99,12/20/2015 14:00,Standard Class
DEBIT,6,4,14.4,28.8,Late delivery,1,Men's Clothing,Home Office,Apparel,Europe,Spain,Spain,12/14/2015 14:00,9,24,1.2,0.04,30.0,1,30.0,28.8,14.4,Southern Europe,PENDING,Columbia Men's PFG Anchor Tough T-Shirt,30.0,12/20/2015 14:00,Standard Class
DEBIT,2,1,-15.63,50.0,Late delivery,1,Women's Apparel,Consumer,Golf,LATAM,Colombia,Colombia,6/29/2017 21:34,10,25,0.0,0.0,50.0,1,50.0,50.0,-15.63,South America,ON_HOLD,Nike Men's Dri-FIT Victory Golf Polo,50.0,7/1/2017 21:34,First Class
PAYMENT,2,1,62.43,195.99,Late delivery,1,Water Sports,Corporate,Fan Shop,Pacific Asia,Japan,Japan,7/8/2016 22:29,11,26,4.0,0.02,199.99,1,199.99,195.99,62.43,Eastern Asia,COMPLETE,Pelican Sunstream 100 Kayak,199.99,7/10/2016 22:29,First Class
DEBIT,6,4,100.0,199.99,Late delivery,1,Water Sports,Corporate,Fan Shop,USCA,United States,United States,11/13/2017 8:41,12,27,0.0,0.0,199.99,1,199.99,199.99,100.0,East of USA,PENDING,Pelican Sunstream 100 Kayak,199.99,11/19/2017 8:41,Standard Class
DEBIT,6,4,-42.49,115.2,Late delivery,1,Men's Clothing,Corporate,Apparel,USCA,United States,United States,11/13/2017 8:41,12,28,4.8,0.04,30.0,4,120.0,115.2,-42.49,East of USA,PENDING,Columbia Men's PFG Anchor Tough T-Shirt,30.0,11/19/2017 8:41,Standard Class
DEBIT,6,4,5.03,327.98,Late delivery,1,Fishing,Corporate,Fan Shop,USCA,United States,United States,11/13/2017 8:41,12,29,72.0,0.18,399.98,1,399.98,327.98,5.03,East of USA,PENDING,Field & Stream Sportsman 16 Gun Fire Safe,399.98,11/19/2017 8:41,Standard Class
TRANSFER,3,4,22.5,227.96,Advance shipping,0,Cleats,Consumer,Apparel,Pacific Asia,Pakistan,Pakistan,10/26/2016 4:37,13,30,12.0,0.05,59.99,4,239.96,227.96,22.5,South Asia,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,10/29/2016 4:37,Standard Class
TRANSFER,3,4,51.04,189.95,Advance shipping,0,Girls' Apparel,Consumer,Apparel,Pacific Asia,Pakistan,Pakistan,10/26/2016 4:37,13,31,10.0,0.05,39.99,5,199.95,189.95,51.04,South Asia,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99,10/29/2016 4:37,Standard Class
TRANSFER,3,4,-10.55,44.0,Advance shipping,0,Women's Apparel,Consumer,Golf,Pacific Asia,Pakistan,Pakistan,10/26/2016 4:37,13,32,6.0,0.12,50.0,1,50.0,44.0,-10.55,South Asia,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,10/29/2016 4:37,Standard Class
TRANSFER,7,4,25.0,50.0,Late delivery,1,Women's Apparel,Corporate,Golf,LATAM,Honduras,Honduras,1/24/2015 4:16,14,33,0.0,0.0,50.0,1,50.0,50.0,25.0,Central America,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50.0,1/31/2015 4:16,Standard Class
DEBIT,6,4,76.0,151.99,Late delivery,1,Soccer,Home Office,Fan Shop,Europe,Russia,Russia,4/1/2016 5:21,15,34,8.0,0.05,159.99,1,159.99,151.99,76.0,Eastern Europe,COMPLETE,adidas Brazuca 2014 Official Match Ball,159.99,4/7/2016 5:21,Standard Class
DEBIT,6,4,1.64,27.0,Late delivery,1,Men's Clothing,Home Office,Apparel,Europe,Russia,Russia,4/1/2016 5:21,15,35,3.0,0.1,30.0,1,30.0,27.0,1.64,Eastern Europe,COMPLETE,Columbia Men's PFG Anchor Tough T-Shirt,30.0,4/7/2016 5:21,Standard Class
DEBIT,6,4,45.81,297.49,Late delivery,1,Electronics,Home Office,Outdoors,Europe,Russia,Russia,4/1/2016 5:21,15,36,52.5,0.15,349.99,1,349.99,297.49,45.81,Eastern Europe,COMPLETE,Garmin Forerunner 910XT GPS Watch,349.99,4/7/2016 5:21,Standard Class
DEBIT,6,4,-17.69,52.79,Late delivery,1,Cleats,Home Office,Apparel,Europe,Russia,Russia,4/1/2016 5:21,15,37,7.2,0.12,59.99,1,59.99,52.79,-17.69,Eastern Europe,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,4/7/2016 5:21,Standard Class
DEBIT,6,4,63.7,127.39,Late delivery,1,Men's Footwear,Home Office,Apparel,Europe,Russia,Russia,4/1/2016 5:21,15,38,2.6,0.02,129.99,1,129.99,127.39,63.7,Eastern Europe,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,4/7/2016 5:21,Standard Class
CASH,3,2,95.11,563.99,Late delivery,1,Fitness Accessories,Consumer,Fitness,Europe,Sweden,Sweden,2/7/2016 19:01,16,39,36.0,0.06,599.99,1,599.99,563.99,95.11,Northern Europe,CLOSED,Bowflex SelectTech 1090 Dumbbells,599.99,2/10/2016 19:01,Second Class
CASH,3,2,69.6,158.39,Late delivery,1,Soccer,Consumer,Fan Shop,Europe,Sweden,Sweden,2/7/2016 19:01,16,40,1.6,0.01,159.99,1,159.99,158.39,69.6,Northern Europe,CLOSED,adidas Brazuca 2014 Official Match Ball,159.99,2/10/2016 19:01,Second Class
CASH,3,2,-16.62,123.49,Late delivery,1,Men's Footwear,Consumer,Apparel,Europe,Sweden,Sweden,2/7/2016 19:01,16,41,6.5,0.05,129.99,1,129.99,123.49,-16.62,Northern Europe,CLOSED,Nike Men's CJ Elite 2 TD Football Cleat,129.99,2/10/2016 19:01,Second Class
DEBIT,4,4,-0.77,17.99,Shipping on time,0,Golf Gloves,Home Office,Golf,LATAM,Argentina,Argentina,5/25/2015 18:49,17,42,2.0,0.1,19.99,1,19.99,17.99,-0.77,South America,PENDING_PAYMENT,Glove It Women's Imperial Golf Glove,19.99,5/29/2015 18:49,Standard Class
DEBIT,4,4,45.08,175.98,Shipping on time,0,Cardio Equipment,Home Office,Footwear,LATAM,Argentina,Argentina,5/25/2015 18:49,17,43,24.0,0.12,99.99,2,199.98,175.98,45.08,South America,PENDING_PAYMENT,Nike Men's Free 5.0+ Running Shoe,99.99,5/29/2015 18:49,Standard Class
DEBIT,4,4,3.33,33.99,Shipping on time,0,Girls' Apparel,Home Office,Apparel,LATAM,Argentina,Argentina,5/25/2015 18:49,17,44,6.0,0.15,39.99,1,39.99,33.99,3.33,South America,PENDING_PAYMENT,Under Armour Girls' Toddler Spine Surge Runni,39.99,5/29/2015 18:49,Standard Class
DEBIT,5,4,14.4,245.81,Late delivery,1,Electronics,Consumer,Technology,Pacific Asia,Australia,Australia,5/25/2017 23:19,18,45,81.94,0.25,327.75,1,327.75,245.81,14.4,Oceania,PENDING,Smart watch,327.75,5/30/2017 23:19,Standard Class
TRANSFER,6,4,23.92,122.95,Late delivery,1,Indoor/Outdoor Games,Home Office,Fan Shop,Europe,United Kingdom,United Kingdom,10/24/2015 12:08,19,46,26.99,0.18,49.98,3,149.94,122.95,23.92,Northern Europe,CLOSED,O'Brien Men's Neoprene Life Vest,49.98,10/30/2015 12:08,Standard Class
TRANSFER,6,4,-1.54,29.97,Late delivery,1,Golf Shoes,Home Office,Golf,Europe,United Kingdom,United Kingdom,10/24/2015 12:08,19,47,9.99,0.25,9.99,4,39.96,29.97,-1.54,Northern Europe,CLOSED,Clicgear 8.0 Shoe Brush,9.99,10/30/2015 12:08,Standard Class
DEBIT,3,4,11.92,49.79,Advance shipping,0,Cleats,Home Office,Apparel,Pacific Asia,Australia,Australia,5/14/2015 15:01,20,48,10.2,0.17,59.99,1,59.99,49.79,11.92,Oceania,PENDING,Perfect Fitness Perfect Rip Deck,59.99,5/17/2015 15:01,Standard Class
DEBIT,3,4,-4.49,40.96,Advance shipping,0,Golf Shoes,Home Office,Golf,Pacific Asia,Australia,Australia,5/14/2015 15:01,20,49,8.99,0.18,9.99,5,49.95,40.96,-4.49,Oceania,PENDING,Clicgear 8.0 Shoe Brush,9.99,5/17/2015 15:01,Standard Class
DEBIT,3,4,22.71,140.8,Advance shipping,0,Golf Apparel,Home Office,Golf,Pacific Asia,Australia,Australia,5/14/2015 15:01,20,50,19.2,0.12,80.0,2,160.0,140.8,22.71,Oceania,PENDING,LIJA Women's Button Golf Dress,80.0,5/17/2015 15:01,Standard Class
TRANSFER,3,4,-68.97,132.79,Shipping canceled,0,Soccer,Home Office,Fan Shop,LATAM,Honduras,Honduras,2/1/2015 18:48,21,51,27.2,0.17,159.99,1,159.99,132.79,-68.97,Central America,SUSPECTED_FRAUD,adidas Brazuca 2014 Official Match Ball,159.99,2/4/2015 18:48,Standard Class
TRANSFER,3,4,0.37,42.5,Shipping canceled,0,Women's Apparel,Home Office,Golf,LATAM,Honduras,Honduras,2/1/2015 18:48,21,52,7.5,0.15,50.0,1,50.0,42.5,0.37,Central America,SUSPECTED_FRAUD,Nike Men's Dri-FIT Victory Golf Polo,50.0,2/4/2015 18:48,Standard Class
DEBIT,5,4,12.03,30.0,Late delivery,1,Men's Clothing,Consumer,Apparel,USCA,Canada,Canada,4/26/2017 5:31,22,53,0.0,0.0,30.0,1,30.0,30.0,12.03,Canada,PENDING_PAYMENT,Columbia Men's PFG Anchor Tough T-Shirt,30.0,5/1/2017 5:31,Standard Class
PAYMENT,2,4,133.72,307.99,Advance shipping,0,Electronics,Home Office,Outdoors,LATAM,Mexico,Mexico,12/10/2017 7:17,23,54,42.0,0.12,349.99,1,349.99,307.99,133.72,Central America,COMPLETE,Garmin Forerunner 910XT GPS Watch,349.99,12/12/2017 7:17,Standard Class
PAYMENT,2,4,-29.16,116.99,Advance shipping,0,Men's Footwear,Home Office,Apparel,LATAM,Mexico,Mexico,12/10/2017 7:17,23,55,13.0,0.1,129.99,1,129.99,116.99,-29.16,Central America,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,12/12/2017 7:17,Standard Class
PAYMENT,2,4,8.79,113.98,Advance shipping,0,Cleats,Home Office,Apparel,LATAM,Mexico,Mexico,12/10/2017 7:17,23,56,6.0,0.05,59.99,2,119.98,113.98,8.79,Central America,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,12/12/2017 7:17,Standard Class
DEBIT,4,4,-0.94,87.96,Shipping on time,0,Indoor/Outdoor Games,Consumer,Fan Shop,Europe,Spain,Spain,10/27/2017 21:22,24,57,12.0,0.12,49.98,2,99.96,87.96,-0.94,Southern Europe,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,10/31/2017 21:22,Standard Class
DEBIT,4,4,23.75,47.5,Shipping on time,0,Women's Apparel,Consumer,Golf,Europe,Spain,Spain,10/27/2017 21:22,24,58,2.5,0.05,50.0,1,50.0,47.5,23.75,Southern Europe,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,10/31/2017 21:22,Standard Class
DEBIT,4,2,19.4,245.98,Late delivery,1,Camping & Hiking,Corporate,Fan Shop,Europe,Portugal,Portugal,9/5/2015 5:59,25,59,54.0,0.18,299.98,1,299.98,245.98,19.4,Southern Europe,CLOSED,Diamondback Women's Serene Classic Comfort Bi,299.98,9/9/2015 5:59,Second Class
TRANSFER,2,4,-16.48,41.0,Advance shipping,0,Women's Apparel,Home Office,Golf,Europe,Italy,Italy,10/6/2017 11:28,26,60,9.0,0.18,50.0,1,50.0,41.0,-16.48,Southern Europe,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50.0,10/8/2017 11:28,Standard Class
CASH,3,4,9.59,41.48,Advance shipping,0,Indoor/Outdoor Games,Consumer,Fan Shop,LATAM,Guatemala,Guatemala,7/27/2017 18:37,27,61,8.5,0.17,49.98,1,49.98,41.48,9.59,Central America,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,7/30/2017 18:37,Standard Class
CASH,3,4,-16.41,314.99,Advance shipping,0,Electronics,Consumer,Outdoors,LATAM,Guatemala,Guatemala,7/27/2017 18:37,27,62,35.0,0.1,349.99,1,349.99,314.99,-16.41,Central America,PENDING_PAYMENT,Garmin Forerunner 910XT GPS Watch,349.99,7/30/2017 18:37,Standard Class
CASH,3,4,187.99,375.98,Advance shipping,0,Fishing,Consumer,Fan Shop,LATAM,Guatemala,Guatemala,7/27/2017 18:37,27,63,24.0,0.06,399.98,1,399.98,375.98,187.99,Central America,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,7/30/2017 18:37,Standard Class
TRANSFER,6,4,82.52,187.99,Late delivery,1,Water Sports,Corporate,Fan Shop,Europe,Ukraine,Ukraine,12/21/2017 9:24,28,64,12.0,0.06,199.99,1,199.99,187.99,82.52,Eastern Europe,COMPLETE,Pelican Sunstream 100 Kayak,199.99,12/27/2017 9:24,Standard Class
PAYMENT,3,2,55.6,237.49,Late delivery,1,Camping & Hiking,Corporate,Outdoors,LATAM,Haiti,Haiti,6/24/2016 15:29,29,65,12.5,0.05,249.99,1,249.99,237.49,55.6,Caribbean,COMPLETE,Coleman 8-Person Instant Tent,249.99,6/27/2016 15:29,Second Class
DEBIT,2,4,74.26,307.99,Advance shipping,0,Electronics,Home Office,Outdoors,USCA,United States,United States,7/22/2017 19:24,30,66,42.0,0.12,349.99,1,349.99,307.99,74.26,East of USA,CLOSED,Garmin Forerunner 910XT GPS Watch,349.99,7/24/2017 19:24,Standard Class
DEBIT,2,4,-12.88,40.0,Advance shipping,0,Women's Apparel,Home Office,Golf,USCA,United States,United States,7/22/2017 19:24,30,67,10.0,0.2,50.0,1,50.0,40.0,-12.88,East of USA,CLOSED,Nike Men's Dri-FIT Victory Golf Polo,50.0,7/24/2017 19:24,Standard Class
DEBIT,2,4,-3.43,46.98,Advance shipping,0,Indoor/Outdoor Games,Home Office,Fan Shop,USCA,United States,United States,7/22/2017 19:24,30,68,3.0,0.06,49.98,1,49.98,46.98,-3.43,East of USA,CLOSED,O'Brien Men's Neoprene Life Vest,49.98,7/24/2017 19:24,Standard Class
DEBIT,2,4,82.73,383.98,Advance shipping,0,Fishing,Home Office,Fan Shop,USCA,United States,United States,7/22/2017 19:24,30,69,16.0,0.04,399.98,1,399.98,383.98,82.73,East of USA,CLOSED,Field & Stream Sportsman 16 Gun Fire Safe,399.98,7/24/2017 19:24,Standard Class
CASH,2,1,39.27,97.49,Late delivery,1,Men's Footwear,Corporate,Apparel,Europe,Ukraine,Ukraine,12/12/2017 1:24,31,70,32.5,0.25,129.99,1,129.99,97.49,39.27,Eastern Europe,PROCESSING,Nike Men's CJ Elite 2 TD Football Cleat,129.99,12/14/2017 1:24,First Class
DEBIT,6,4,-2.31,24.9,Late delivery,1,Men's Clothing,Consumer,Apparel,Pacific Asia,South Korea,South Korea,12/15/2017 2:19,32,71,5.1,0.17,30.0,1,30.0,24.9,-2.31,Eastern Asia,CLOSED,Columbia Men's PFG Anchor Tough T-Shirt,30.0,12/21/2017 2:19,Standard Class
PAYMENT,5,4,16.9,96.0,Late delivery,1,Women's Apparel,Corporate,Golf,Europe,Poland,Poland,6/20/2017 13:12,33,72,4.0,0.04,50.0,2,100.0,96.0,16.9,Eastern Europe,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50.0,6/25/2017 13:12,Standard Class
DEBIT,2,1,-23.74,187.92,Late delivery,1,Indoor/Outdoor Games,Corporate,Fan Shop,LATAM,Haiti,Haiti,7/18/2016 0:48,34,73,12.0,0.06,49.98,4,199.92,187.92,-23.74,Caribbean,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,7/20/2016 0:48,First Class
DEBIT,2,1,-24.95,84.99,Late delivery,1,Cardio Equipment,Corporate,Footwear,LATAM,Haiti,Haiti,7/18/2016 0:48,34,74,15.0,0.15,99.99,1,99.99,84.99,-24.95,Caribbean,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.99,7/20/2016 0:48,First Class
TRANSFER,0,0,-4.98,44.0,Shipping on time,0,Women's Apparel,Corporate,Golf,LATAM,Brazil,Brazil,11/21/2015 19:30,35,75,6.0,0.12,50.0,1,50.0,44.0,-4.98,South America,CLOSED,Nike Men's Dri-FIT Victory Golf Polo,50.0,11/21/2015 19:30,Same Day
DEBIT,3,2,9.4,37.99,Late delivery,1,Girls' Apparel,Corporate,Apparel,Europe,Ukraine,Ukraine,11/26/2016 10:56,36,76,2.0,0.05,39.99,1,39.99,37.99,9.4,Eastern Europe,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99,11/29/2016 10:56,Second Class
DEBIT,3,2,285.0,569.99,Late delivery,1,Fitness Accessories,Corporate,Fitness,Europe,Ukraine,Ukraine,11/26/2016 10:56,36,77,30.0,0.05,599.99,1,599.99,569.99,285.0,Eastern Europe,COMPLETE,Bowflex SelectTech 1090 Dumbbells,599.99,11/29/2016 10:56,Second Class
DEBIT,3,2,24.24,191.98,Late delivery,1,Cardio Equipment,Corporate,Footwear,Europe,Ukraine,Ukraine,11/26/2016 10:56,36,78,8.0,0.04,99.99,2,199.98,191.98,24.24,Eastern Europe,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.99,11/29/2016 10:56,Second Class
CASH,4,2,-7.34,19.79,Late delivery,1,Golf Gloves,Corporate,Golf,Africa,South Africa,South Africa,4/25/2016 11:18,37,79,0.2,0.01,19.99,1,19.99,19.79,-7.34,Southern Africa,COMPLETE,Glove It Women's Imperial Golf Glove,19.99,4/29/2016 11:18,Second Class
CASH,4,2,-2.0,299.98,Late delivery,1,Camping & Hiking,Corporate,Fan Shop,Africa,South Africa,South Africa,4/25/2016 11:18,37,80,0.0,0.0,299.98,1,299.98,299.98,-2.0,Southern Africa,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,4/29/2016 11:18,Second Class
DEBIT,2,4,15.8,95.99,Advance shipping,0,Cardio Equipment,Consumer,Footwear,LATAM,Cuba,Cuba,2/15/2015 0:32,38,81,4.0,0.04,99.99,1,99.99,95.99,15.8,Caribbean,PENDING,Nike Men's Free 5.0+ Running Shoe,99.99,2/17/2015 0:32,Standard Class
PAYMENT,3,4,-29.7,237.5,Advance shipping,0,Women's Apparel,Corporate,Golf,Europe,United Kingdom,United Kingdom,1/2/2015 8:26,39,82,12.5,0.05,50.0,5,250.0,237.5,-29.7,Northern Europe,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,1/5/2015 8:26,Standard Class
PAYMENT,3,4,4.36,79.99,Advance shipping,0,Cardio Equipment,Corporate,Footwear,Europe,United Kingdom,United Kingdom,1/2/2015 8:26,39,83,20.0,0.2,99.99,1,99.99,79.99,4.36,Northern Europe,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.99,1/5/2015 8:26,Standard Class
DEBIT,3,4,240.0,479.99,Advance shipping,0,Accessories,Consumer,Outdoors,USCA,United States,United States,2/21/2015 22:07,40,84,20.0,0.04,499.99,1,499.99,479.99,240.0,South of USA,PENDING_PAYMENT,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,499.99,2/24/2015 22:07,Standard Class
DEBIT,3,4,60.7,327.98,Advance shipping,0,Fishing,Consumer,Fan Shop,USCA,United States,United States,2/21/2015 22:07,40,85,72.0,0.18,399.98,1,399.98,327.98,60.7,South of USA,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,2/24/2015 22:07,Standard Class
PAYMENT,1,0,-32.47,79.99,Late delivery,1,Cardio Equipment,Consumer,Footwear,Europe,Russia,Russia,10/6/2015 16:08,41,86,20.0,0.2,99.99,1,99.99,79.99,-32.47,Eastern Europe,PENDING_PAYMENT,Nike Men's Free 5.0+ Running Shoe,99.99,10/7/2015 16:08,Same Day
CASH,2,2,-62.64,254.98,Shipping on time,0,Camping & Hiking,Consumer,Fan Shop,Pacific Asia,Thailand,Thailand,1/21/2015 20:40,42,87,45.0,0.15,299.98,1,299.98,254.98,-62.64,Southeast Asia,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,1/23/2015 20:40,Second Class
